,Star_name,Distance,Mass,Radius,gravity
4546,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4547,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4548,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4549,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4550,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4551,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4552,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4553,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4554,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4555,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4556,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4557,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4558,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4559,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4560,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4561,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4562,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4563,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4564,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4565,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4566,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4567,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4568,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4569,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4570,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4571,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4572,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4573,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4574,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4575,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4576,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4577,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4578,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4579,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4580,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4581,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4582,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4583,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4584,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4585,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4586,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4587,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4588,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4589,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4590,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4591,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4592,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4593,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4594,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4595,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4596,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4597,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4598,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4599,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4600,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4601,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4602,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4603,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4604,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4605,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4606,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.3267253144513
4607,Kelu-1B,61.0,0.055366104,0.1007077399999999,1497.2531756863202
4608,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4609,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4610,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4611,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4612,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4613,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4614,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4615,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4616,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4617,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4618,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4619,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4620,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4621,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4622,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4623,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
4624,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4625,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4626,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4627,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4628,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4629,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4630,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4631,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4632,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4633,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4634,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4635,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4636,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4637,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4638,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4639,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
4640,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4641,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4642,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4643,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4644,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4645,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4646,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4647,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4648,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4649,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4650,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4651,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4652,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4653,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4654,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4655,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4656,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4657,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4658,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4659,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4660,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4661,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4662,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4663,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4664,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4665,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4666,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4667,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4668,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4669,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4670,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
4671,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582376
4672,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4673,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4674,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4675,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4676,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4677,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4678,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4679,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4680,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4681,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4682,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4683,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4684,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4685,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4686,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4687,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4688,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4689,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4690,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4691,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4692,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4693,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4694,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4695,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4696,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4697,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4698,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4699,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4700,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4701,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4702,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4703,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4704,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4705,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4706,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4707,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4708,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4709,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
4710,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1237.4702484573404
4711,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
4712,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.8354958456177
